Candidate_ID,Gender,Age,Location,Highest_Degree,Specialization,CGPA,Experience_Years,Current_Role,Preferred_Job_Title,Industry,Company_Name,Current_Salary_CNY_K,Expected_Salary_CNY_K,Preferred_Work_Mode,Career_Level,Technical_Skills,Certifications,Communication_Score,Leadership_Score,Problem_Solving_Score,Resume_Score,Job_Applications_Count,Interview_Attempts,Recruiter_Rating,Target_Category
CHN_CND_00001,Male,27,Tianjin,Diploma,Artificial Intelligence,8.33,15.9,Data Analyst,Data Scientist,Education,Huawei,17.54,29.68,Onsite,Senior,"Python, Leadership, Communication, Cyber Security",Huawei HCIA,72.29,55.0,72.96,66.69,40,7,3.6,Highly Suitable
CHN_CND_00002,Female,41,Chengdu,MBA,Software Engineering,6.71,19.4,Cloud Engineer,DevOps Engineer,Finance,Tencent,51.29,56.05,Hybrid,Entry,"Deep Learning, Cyber Security, Data Analysis, Communication, NLP, Cloud Computing, PyTorch, Kubernetes",Tencent Cloud,59.17,65.21,76.24,71.6,49,9,1.19,Moderately Suitable
CHN_CND_00003,Female,36,Tianjin,MBA,IoT Engineering,7.49,4.7,Cloud Engineer,Data Scientist,Information Technology,Huawei,12.71,22.75,Hybrid,Entry,"NodeJS, Leadership, Java, NLP, TensorFlow, Tableau","Huawei HCIA, Oracle",99.16,73.34,93.0,84.02,9,6,1.05,Highly Suitable
CHN_CND_00004,Female,34,Guangzhou,Associate Degree,Cloud Computing,8.67,16.2,AI Engineer,Backend Developer,Education,Baidu,23.84,27.11,Hybrid,Mid,"Kubernetes, Leadership, NLP, Docker",Cisco,72.01,56.1,74.76,51.72,14,0,2.04,Moderately Suitable
CHN_CND_00005,Female,28,Guangzhou,Associate Degree,Human Resources,8.21,15.1,Cyber Security Analyst,Business Consultant,Healthcare,JD.com,30.11,34.81,Remote,Entry,"Communication, Alibaba Cloud, Java, NodeJS, Cyber Security, Kubernetes, Machine Learning, Deep Learning","Huawei HCIA, Scrum Master",51.57,92.11,72.49,69.76,36,7,3.28,Less Suitable
CHN_CND_00006,Male,28,Shanghai,Master,Software Engineering,8.29,16.9,Cyber Security Analyst,Data Scientist,Telecommunications,Xiaomi,46.86,55.88,Onsite,Mid,"Cyber Security, Leadership, Data Analysis, Kubernetes, Docker, TensorFlow, SQL, ReactJS","Huawei HCIA, PMP",98.26,80.35,63.8,64.81,45,0,1.06,Less Suitable
CHN_CND_00007,Female,29,Beijing,Associate Degree,Cloud Computing,9.18,15.4,Project Manager,Backend Developer,Finance,JD.com,18.33,20.4,Onsite,Senior,"Cyber Security, Python, TensorFlow, Leadership, Alibaba Cloud, Java","PMP, Huawei HCIA",85.34,86.45,88.56,53.7,39,9,1.46,Less Suitable
CHN_CND_00008,Male,27,Chengdu,MBA,Cyber Security,7.45,17.0,Data Analyst,Frontend Developer,Finance,Tencent,31.37,34.61,Onsite,Mid,"PyTorch, Docker, Machine Learning, Tableau, Python","Cisco, TensorFlow Developer, Alibaba Cloud Certification",83.44,83.3,79.56,63.74,35,0,2.53,Highly Suitable
CHN_CND_00009,Male,35,Hangzhou,Diploma,Business Analytics,9.01,14.3,AI Researcher,System Analyst,E-Commerce,Tencent,47.56,56.86,Remote,Entry,"PyTorch, NodeJS, Power BI, Machine Learning, Leadership, Cyber Security, Data Analysis, Cloud Computing","TensorFlow Developer, Oracle",74.69,76.14,71.38,51.27,13,2,1.13,Highly Suitable
CHN_CND_00010,Male,27,Shanghai,Bachelor,Business Analytics,6.54,9.5,AI Engineer,System Analyst,Education,JD.com,37.29,48.33,Onsite,Mid,"Python, ReactJS, Cyber Security, Communication, Tableau, NodeJS",Alibaba Cloud Certification,80.22,76.99,60.15,97.14,7,2,1.64,Highly Suitable
CHN_CND_00011,Female,22,Chengdu,Diploma,Finance,7.78,12.5,AI Researcher,AI Engineer,Finance,Alibaba,23.37,26.74,Hybrid,Senior,"PyTorch, ReactJS, Power BI, Communication, Cyber Security, Kubernetes, Deep Learning, TensorFlow",Huawei HCIA,60.92,70.83,94.16,66.22,28,8,2.27,Moderately Suitable
CHN_CND_00012,Male,21,Hangzhou,Diploma,Cyber Security,7.38,5.4,AI Engineer,Business Consultant,Finance,Alibaba,41.68,43.69,Onsite,Senior,"Communication, Deep Learning, ReactJS, NLP",PMP,65.24,58.23,76.7,74.24,33,2,2.08,Highly Suitable
CHN_CND_00013,Female,44,Beijing,Master,Finance,8.74,18.9,Data Analyst,Security Engineer,Retail,NetEase,24.81,33.55,Hybrid,Mid,"Communication, Machine Learning, Data Analysis, Power BI","TensorFlow Developer, PMP",68.18,98.59,98.12,62.59,2,2,2.2,Less Suitable
